Sira 	Kod 	Nota53 	NotaAE 	Koma53 	KomaAE 	Pay 	Payda 	Ms 	LNS 	VelOn 	Soz1 	Bolum 	
324 	9 	Re5    	D5   	327 	327 	3 	16 	469 	95 	88 	 	 	
325 	9 	Mi5    	E5   	336 	336 	1 	16 	156 	95 	93 	 	 	
326 	9 	Fa5#3  	F5#4 	343 	344 	3 	16 	469 	95 	99 	 	 	
327 	9 	Sol5   	G5   	349 	349 	1 	16 	156 	95 	104 	 	 	
328 	9 	La5    	A5   	358 	358 	3 	16 	469 	95 	109 	 	 	
329 	9 	Si5    	B5   	367 	367 	1 	16 	156 	95 	114 	 	 	
330 	9 	La5    	A5   	358 	358 	3 	16 	469 	95 	114 	 	 	
331 	9 	Sol5   	G5   	349 	349 	1 	16 	156 	95 	112 	 	 	
332 	9 	Fa5#3  	F5#4 	343 	344 	3 	16 	469 	95 	110 	 	 	
333 	9 	Mi5    	E5   	336 	336 	1 	16 	156 	95 	108 	 	 	
334 	9 	Re5    	D5   	327 	327 	3 	16 	469 	95 	96 	 	 	
335 	9 	Fa5#3  	F5#4 	343 	344 	1 	16 	156 	95 	96 	 	 	
336 	9 	Mi5    	E5   	336 	336 	3 	16 	469 	95 	96 	 	 	
337 	9 	Re5    	D5   	327 	327 	1 	16 	156 	95 	96 	 	 	
338 	9 	Do5#3  	C5#4 	321 	322 	3 	16 	469 	95 	96 	 	 	
339 	9 	La4    	A4   	305 	305 	1 	16 	156 	95 	96 	 	 	
340 	9 	Si4    	B4   	314 	314 	3 	16 	469 	95 	96 	 	 	
341 	9 	Do5#3  	C5#4 	321 	322 	1 	16 	156 	95 	96 	 	 	
342 	9 	Re5    	D5   	327 	327 	2 	4 	1250 	95 	96 	 	 	
343 	9 	Re5    	D5   	327 	327 	3 	16 	789 	95 	108 	 	Teslim 	
344 	9 	Sol5   	G5   	349 	349 	1 	16 	263 	95 	96 	 	 	
345 	9 	Fa5#4  	F5#4 	344 	344 	1 	16 	263 	95 	96 	 	 	
346 	9 	Mi5#4  	E5#4 	340 	340 	1 	16 	263 	95 	96 	 	 	
347 	9 	Fa5#4  	F5#4 	344 	344 	1 	4 	1053 	95 	96 	 	 	
348 	9 	Mi5#4  	E5#4 	340 	340 	1 	16 	263 	95 	78 	 	 	
349 	9 	Fa5#4  	F5#4 	344 	344 	1 	16 	263 	95 	96 	 	 	
350 	9 	Sol5   	G5   	349 	349 	1 	16 	263 	95 	96 	 	 	
351 	9 	Mi5#4  	E5#4 	340 	340 	1 	16 	263 	95 	96 	 	 	
352 	9 	Fa5#4  	F5#4 	344 	344 	4 	16 	1053 	95 	96 	 	 	
353 	9 	La5    	A5   	358 	358 	1 	8 	526 	95 	108 	 	 	
354 	9 	La5    	A5   	358 	358 	1 	16 	263 	95 	114 	 	 	
355 	9 	Sol5   	G5   	349 	349 	1 	16 	263 	95 	110 	 	 	
356 	9 	Sol5   	G5   	349 	349 	1 	16 	263 	95 	106 	 	 	
357 	9 	Fa5#1  	F5#1 	341 	341 	1 	16 	263 	95 	102 	 	 	
358 	9 	Fa5    	F5   	340 	340 	1 	16 	263 	95 	98 	 	 	
359 	9 	Mi5    	E5   	336 	336 	1 	16 	263 	95 	94 	 	 	
360 	9 	Mi5    	E5   	336 	336 	1 	16 	263 	95 	90 	 	 	
361 	9 	Re5    	D5   	327 	327 	1 	16 	263 	95 	86 	 	 	
362 	9 	Re5    	D5   	327 	327 	1 	16 	263 	95 	82 	 	 	
363 	9 	Mi5    	E5   	336 	336 	1 	16 	263 	95 	78 	 	 	
364 	9 	Re5    	D5   	327 	327 	1 	16 	263 	95 	78 	 	 	
365 	9 	Do5    	C5   	318 	318 	1 	16 	263 	95 	84 	 	 	
366 	9 	Si4b2  	B4b1 	312 	313 	1 	16 	263 	95 	90 	 	 	
367 	9 	Re5    	D5   	327 	327 	1 	16 	263 	95 	96 	 	 	
368 	9 	Do5    	C5   	318 	318 	1 	16 	263 	95 	102 	 	 	
369 	9 	Re5    	D5   	327 	327 	1 	16 	263 	95 	108 	 	 	
370 	9 	Do5    	C5   	318 	318 	1 	8 	526 	95 	114 	 	 	
371 	9 	Si4b2  	B4b1 	312 	313 	1 	8 	526 	95 	96 	 	 	
372 	9 	La4    	A4   	305 	305 	3 	16 	789 	95 	78 	 	 	
373 	9 	Mi5    	E5   	336 	336 	1 	16 	263 	95 	96 	 	 	
374 	9 	Re5    	D5   	327 	327 	1 	16 	263 	95 	96 	 	 	
375 	9 	Do5#3  	C5#4 	321 	322 	1 	16 	263 	95 	96 	 	 	
376 	9 	Re5    	D5   	327 	327 	3 	16 	789 	95 	96 	 	 	
377 	9 	Do5    	C5   	318 	318 	1 	16 	263 	95 	96 	 	 	
378 	9 	La4    	A4   	305 	305 	1 	16 	263 	95 	78 	 	 	
379 	9 	Si4b2  	B4b1 	312 	313 	1 	16 	263 	95 	90 	 	 	
380 	9 	Do5    	C5   	318 	318 	1 	16 	263 	95 	102 	 	 	
381 	9 	Re5    	D5   	327 	327 	1 	16 	263 	95 	114 	 	 	
382 	9 	Si4b2  	B4b1 	312 	313 	1 	8 	526 	95 	114 	 	 	
383 	9 	La4    	A4   	305 	305 	1 	8 	526 	95 	102 	 	 	
384 	9 	Sol4   	G4   	296 	296 	1 	8 	526 	95 	90 	 	 	
385 	9 	Fa4#3  	F4#4 	290 	291 	1 	4 	1053 	95 	78 	 	 	
386 	9 	Re4    	D4   	274 	274 	1 	8 	526 	95 	108 	 	 	
387 	9 	Mi4    	E4   	283 	283 	3 	16 	789 	95 	108 	 	 	
388 	9 	Re4    	D4   	274 	274 	1 	16 	263 	95 	108 	 	 	
389 	9 	Mi4    	E4   	283 	283 	1 	8 	526 	95 	108 	 	 	
390 	9 	Fa4#3  	F4#4 	290 	291 	1 	8 	526 	95 	108 	 	 	
391 	9 	Re4    	D4   	274 	274 	3 	8 	1579 	95 	108 	 	 	
